Time (s):,Density,Center Radius,Ring Count,Ring Width,Collision Dist,Radius,Ring Intervals,System Count,Generation Cost,,,,,Time (s):,Generation Cost
2.3868,0.1104,16.1153,5,4.345,1.5,125,25,1528,2.398057,,,,,1.1064,1.538608
2.9828,0.1123,0.0289,5,4.4747,1.5,125,25,1709,2.512428,,,,,1.1691,1.56067
4.0208,0.1012,2.4453,6,4.3271,1.5,150,25,2140,2.627017,,,,,1.1721,1.760818
2.2953,0.1078,14.4675,5,4.338,1.5,125,25,1497,2.338535,,,,,1.2851,1.949939
2.4002,0.1112,1.7673,5,3.9049,1.5,125,25,1500,2.171674,,,,,1.3073,1.952208
3.837,0.1043,1.7873,6,4.0451,1.5,150,25,2084,2.530741,,,,,1.8207,1.922404
2.4942,0.1109,14.0045,5,4.4526,1.5,125,25,1541,2.469595,,,,,2.2768,2.105461
1.2851,0.1153,22.0587,4,4.2275,1.5,100,25,911,1.949939,,,,,2.2953,2.338535
3.2519,0.1067,20.8818,6,4.0287,1.5,150,25,1929,2.58026,,,,,2.3868,2.398057
3.5978,0.102,1.89,6,3.9259,1.5,150,25,1978,2.403377,,,,,2.4002,2.171674
3.7212,0.1042,4.1175,6,3.9786,1.5,150,25,2027,2.488069,,,,,2.4942,2.469595
1.1721,0.1118,22.4436,4,3.9373,1.5,100,25,849,1.760818,,,,,2.6146,2.534561
1.8207,0.1041,11.0027,5,3.694,1.5,125,25,1272,1.922404,,,,,2.9828,2.512428
1.3073,0.1142,21.374,4,4.2723,1.5,100,25,933,1.952208,,,,,3.2519,2.58026
1.1691,0.1034,8.0669,4,3.775,1.5,100,25,840,1.56067,,,,,3.5845,2.392328
3.6394,0.1146,21.9938,6,4.0605,1.5,150,25,2046,2.791744,,,,,3.5978,2.403377
1.1064,0.1016,16.7501,4,3.7853,1.5,100,25,792,1.538608,,,,,3.6394,2.791744
2.2768,0.1069,4.7899,5,3.9407,1.5,125,25,1443,2.105461,,,,,3.7212,2.488069
2.6146,0.1176,16.5067,5,4.3101,1.5,125,25,1582,2.534561,,,,,3.837,2.530741
3.5845,0.1007,2.7146,6,3.9579,1.5,150,25,1976,2.392328,,,,,4.0208,2.627017
